"x","y","year","month","pm2.5"
106.804996137098,-6.37499996340693,"2017","2",23.7000007629395
106.814996136831,-6.37499996340693,"2017","2",23.7999992370605
106.824996136564,-6.37499996340693,"2017","2",23.8999996185303
106.834996136297,-6.37499996340693,"2017","2",24
106.84499613603,-6.37499996340693,"2017","2",24.1000003814697
106.854996135763,-6.37499996340693,"2017","2",24
106.864996135496,-6.37499996340693,"2017","2",23.7999992370605
106.874996135229,-6.37499996340693,"2017","2",23.6000003814697
106.884996134962,-6.37499996340693,"2017","2",23.5
106.894996134694,-6.37499996340693,"2017","2",23.3999996185303
106.904996134427,-6.37499996340693,"2017","2",23.2000007629395
106.91499613416,-6.37499996340693,"2017","2",23.2000007629395
106.924996133893,-6.37499996340693,"2017","2",23.1000003814697
106.934996133626,-6.37499996340693,"2017","2",23.1000003814697
106.944996133359,-6.37499996340693,"2017","2",23
106.954996133092,-6.37499996340693,"2017","2",23
106.964996132825,-6.37499996340693,"2017","2",22.7000007629395
106.974996132558,-6.37499996340693,"2017","2",22.6000003814697
106.984996132291,-6.37499996340693,"2017","2",22.3999996185303
106.994996132024,-6.37499996340693,"2017","2",22.3999996185303
106.654996141104,-6.38499996319188,"2017","2",21.2999992370605
106.664996140837,-6.38499996319188,"2017","2",21.6000003814697
106.67499614057,-6.38499996319188,"2017","2",21.7000007629395
106.684996140303,-6.38499996319188,"2017","2",22
106.694996140036,-6.38499996319188,"2017","2",22.2000007629395
106.704996139769,-6.38499996319188,"2017","2",22.3999996185303
106.714996139502,-6.38499996319188,"2017","2",22.6000003814697
106.724996139235,-6.38499996319188,"2017","2",22.7999992370605
106.734996138967,-6.38499996319188,"2017","2",23
106.7449961387,-6.38499996319188,"2017","2",23.2000007629395
106.754996138433,-6.38499996319188,"2017","2",23.2999992370605
106.764996138166,-6.38499996319188,"2017","2",23.3999996185303
106.774996137899,-6.38499996319188,"2017","2",23.5
106.784996137632,-6.38499996319188,"2017","2",23.6000003814697
106.794996137365,-6.38499996319188,"2017","2",23.7000007629395
106.804996137098,-6.38499996319188,"2017","2",23.7999992370605
106.814996136831,-6.38499996319188,"2017","2",23.7999992370605
106.824996136564,-6.38499996319188,"2017","2",23.8999996185303
106.834996136297,-6.38499996319188,"2017","2",24
106.84499613603,-6.38499996319188,"2017","2",24.2000007629395
106.854996135763,-6.38499996319188,"2017","2",24.1000003814697
106.864996135496,-6.38499996319188,"2017","2",23.8999996185303
106.874996135229,-6.38499996319188,"2017","2",23.7999992370605
106.884996134962,-6.38499996319188,"2017","2",23.6000003814697
106.894996134694,-6.38499996319188,"2017","2",23.5
106.904996134427,-6.38499996319188,"2017","2",23.2999992370605
106.91499613416,-6.38499996319188,"2017","2",23.2999992370605
106.924996133893,-6.38499996319188,"2017","2",23.2999992370605
106.934996133626,-6.38499996319188,"2017","2",23.2000007629395
106.944996133359,-6.38499996319188,"2017","2",23.2000007629395
106.954996133092,-6.38499996319188,"2017","2",23.1000003814697
106.964996132825,-6.38499996319188,"2017","2",22.8999996185303
106.974996132558,-6.38499996319188,"2017","2",22.7000007629395
106.984996132291,-6.38499996319188,"2017","2",22.6000003814697
106.994996132024,-6.38499996319188,"2017","2",22.5
106.654996141104,-6.39499996297683,"2017","2",21.3999996185303
106.664996140837,-6.39499996297683,"2017","2",21.6000003814697
106.67499614057,-6.39499996297683,"2017","2",21.7999992370605
106.684996140303,-6.39499996297683,"2017","2",22
106.694996140036,-6.39499996297683,"2017","2",22.2000007629395
106.704996139769,-6.39499996297683,"2017","2",22.3999996185303
106.714996139502,-6.39499996297683,"2017","2",22.7000007629395
106.724996139235,-6.39499996297683,"2017","2",22.7999992370605
106.734996138967,-6.39499996297683,"2017","2",23.1000003814697
106.7449961387,-6.39499996297683,"2017","2",23.2000007629395
106.754996138433,-6.39499996297683,"2017","2",23.3999996185303
106.764996138166,-6.39499996297683,"2017","2",23.5
106.774996137899,-6.39499996297683,"2017","2",23.6000003814697
106.784996137632,-6.39499996297683,"2017","2",23.7000007629395
106.794996137365,-6.39499996297683,"2017","2",23.7999992370605
106.804996137098,-6.39499996297683,"2017","2",23.8999996185303
106.814996136831,-6.39499996297683,"2017","2",23.8999996185303
106.824996136564,-6.39499996297683,"2017","2",24
106.834996136297,-6.39499996297683,"2017","2",24.1000003814697
106.84499613603,-6.39499996297683,"2017","2",24.2000007629395
106.854996135763,-6.39499996297683,"2017","2",24.2000007629395
106.864996135496,-6.39499996297683,"2017","2",24
106.874996135229,-6.39499996297683,"2017","2",23.8999996185303
106.884996134962,-6.39499996297683,"2017","2",23.7999992370605
106.894996134694,-6.39499996297683,"2017","2",23.6000003814697
106.904996134427,-6.39499996297683,"2017","2",23.5
106.91499613416,-6.39499996297683,"2017","2",23.3999996185303
106.924996133893,-6.39499996297683,"2017","2",23.3999996185303
106.934996133626,-6.39499996297683,"2017","2",23.2999992370605
106.944996133359,-6.39499996297683,"2017","2",23.2999992370605
106.954996133092,-6.39499996297683,"2017","2",23.2000007629395
106.964996132825,-6.39499996297683,"2017","2",23.1000003814697
106.974996132558,-6.39499996297683,"2017","2",22.8999996185303
106.984996132291,-6.39499996297683,"2017","2",22.7999992370605
106.994996132024,-6.39499996297683,"2017","2",22.6000003814697
106.654996141104,-6.0549999702885,"2017","3",17.5
106.664996140837,-6.0549999702885,"2017","3",17
106.67499614057,-6.0549999702885,"2017","3",16.7999992370605
106.684996140303,-6.0549999702885,"2017","3",16.5
106.694996140036,-6.0549999702885,"2017","3",16.3999996185303
106.704996139769,-6.0549999702885,"2017","3",16.2999992370605
106.714996139502,-6.0549999702885,"2017","3",16.2999992370605
106.984996132291,-6.0549999702885,"2017","3",20.7000007629395
106.994996132024,-6.0549999702885,"2017","3",21.7000007629395
106.654996141104,-6.06499997007346,"2017","3",17.8999996185303
106.664996140837,-6.06499997007346,"2017","3",17.5
106.67499614057,-6.06499997007346,"2017","3",17.2000007629395
106.684996140303,-6.06499997007346,"2017","3",16.8999996185303
106.694996140036,-6.06499997007346,"2017","3",16.7000007629395
106.704996139769,-6.06499997007346,"2017","3",16.6000003814697
106.714996139502,-6.06499997007346,"2017","3",16.6000003814697
106.994996132024,-6.06499997007346,"2017","3",22.2999992370605
106.654996141104,-6.07499996985841,"2017","3",18.3999996185303
106.664996140837,-6.07499996985841,"2017","3",18
106.67499614057,-6.07499996985841,"2017","3",17.5
106.684996140303,-6.07499996985841,"2017","3",17.1000003814697
106.694996140036,-6.07499996985841,"2017","3",16.8999996185303
106.704996139769,-6.07499996985841,"2017","3",16.8999996185303
106.714996139502,-6.07499996985841,"2017","3",16.7999992370605
106.724996139235,-6.07499996985841,"2017","3",16.7000007629395
106.734996138967,-6.07499996985841,"2017","3",16.6000003814697
106.994996132024,-6.07499996985841,"2017","3",22.8999996185303
106.654996141104,-6.08499996964336,"2017","3",18.7999992370605
106.664996140837,-6.08499996964336,"2017","3",18.2999992370605
106.67499614057,-6.08499996964336,"2017","3",17.8999996185303
106.684996140303,-6.08499996964336,"2017","3",17.5
106.694996140036,-6.08499996964336,"2017","3",17.2999992370605
106.704996139769,-6.08499996964336,"2017","3",17.2000007629395
106.714996139502,-6.08499996964336,"2017","3",17.1000003814697
106.724996139235,-6.08499996964336,"2017","3",17
106.734996138967,-6.08499996964336,"2017","3",16.8999996185303
106.974996132558,-6.08499996964336,"2017","3",22.6000003814697
106.984996132291,-6.08499996964336,"2017","3",23.2999992370605
106.994996132024,-6.08499996964336,"2017","3",23.6000003814697
106.654996141104,-6.09499996942831,"2017","3",19.2999992370605
106.664996140837,-6.09499996942831,"2017","3",18.7999992370605
106.67499614057,-6.09499996942831,"2017","3",18.3999996185303
106.684996140303,-6.09499996942831,"2017","3",17.7000007629395
106.694996140036,-6.09499996942831,"2017","3",17.6000003814697
106.704996139769,-6.09499996942831,"2017","3",17.5
106.714996139502,-6.09499996942831,"2017","3",17.3999996185303
106.724996139235,-6.09499996942831,"2017","3",17.2000007629395
106.734996138967,-6.09499996942831,"2017","3",17.1000003814697
106.7449961387,-6.09499996942831,"2017","3",17
106.794996137365,-6.09499996942831,"2017","3",17.7999992370605
106.804996137098,-6.09499996942831,"2017","3",18
106.814996136831,-6.09499996942831,"2017","3",18.2999992370605
106.874996135229,-6.09499996942831,"2017","3",19.2000007629395
106.884996134962,-6.09499996942831,"2017","3",19.1000003814697
106.894996134694,-6.09499996942831,"2017","3",19
106.904996134427,-6.09499996942831,"2017","3",18.8999996185303
106.91499613416,-6.09499996942831,"2017","3",18.8999996185303
106.924996133893,-6.09499996942831,"2017","3",18.7999992370605
106.934996133626,-6.09499996942831,"2017","3",18.7999992370605
106.944996133359,-6.09499996942831,"2017","3",18.8999996185303
106.954996133092,-6.09499996942831,"2017","3",20.2000007629395
106.964996132825,-6.09499996942831,"2017","3",22.2999992370605
106.974996132558,-6.09499996942831,"2017","3",23.6000003814697
106.984996132291,-6.09499996942831,"2017","3",23.8999996185303
106.994996132024,-6.09499996942831,"2017","3",24.2999992370605
106.654996141104,-6.10499996921326,"2017","3",19.7999992370605
106.664996140837,-6.10499996921326,"2017","3",19.2000007629395
106.67499614057,-6.10499996921326,"2017","3",18.7000007629395
106.684996140303,-6.10499996921326,"2017","3",18.1000003814697
106.694996140036,-6.10499996921326,"2017","3",17.8999996185303
106.704996139769,-6.10499996921326,"2017","3",17.7999992370605
106.714996139502,-6.10499996921326,"2017","3",17.6000003814697
106.724996139235,-6.10499996921326,"2017","3",17.3999996185303
106.734996138967,-6.10499996921326,"2017","3",17.2999992370605
106.7449961387,-6.10499996921326,"2017","3",17.1000003814697
106.754996138433,-6.10499996921326,"2017","3",17.2000007629395
106.764996138166,-6.10499996921326,"2017","3",17.6000003814697
106.774996137899,-6.10499996921326,"2017","3",17.7000007629395
106.784996137632,-6.10499996921326,"2017","3",18
106.794996137365,-6.10499996921326,"2017","3",18.2000007629395
106.804996137098,-6.10499996921326,"2017","3",18.5
106.814996136831,-6.10499996921326,"2017","3",18.7999992370605
106.834996136297,-6.10499996921326,"2017","3",19.6000003814697
106.854996135763,-6.10499996921326,"2017","3",20.1000003814697
106.864996135496,-6.10499996921326,"2017","3",20
106.874996135229,-6.10499996921326,"2017","3",20
106.884996134962,-6.10499996921326,"2017","3",19.8999996185303
106.894996134694,-6.10499996921326,"2017","3",19.7999992370605
106.904996134427,-6.10499996921326,"2017","3",19.7000007629395
106.91499613416,-6.10499996921326,"2017","3",19.6000003814697
106.924996133893,-6.10499996921326,"2017","3",19.6000003814697
106.934996133626,-6.10499996921326,"2017","3",19.6000003814697
106.944996133359,-6.10499996921326,"2017","3",19.8999996185303
106.954996133092,-6.10499996921326,"2017","3",21.2000007629395
106.964996132825,-6.10499996921326,"2017","3",23.3999996185303
106.974996132558,-6.10499996921326,"2017","3",24.2000007629395
106.984996132291,-6.10499996921326,"2017","3",24.6000003814697
106.994996132024,-6.10499996921326,"2017","3",25
106.654996141104,-6.11499996899821,"2017","3",20.2999992370605
106.664996140837,-6.11499996899821,"2017","3",19.6000003814697
106.67499614057,-6.11499996899821,"2017","3",19
106.684996140303,-6.11499996899821,"2017","3",18.5
106.694996140036,-6.11499996899821,"2017","3",18.2000007629395
106.704996139769,-6.11499996899821,"2017","3",18
106.714996139502,-6.11499996899821,"2017","3",17.8999996185303
106.724996139235,-6.11499996899821,"2017","3",17.7000007629395
106.734996138967,-6.11499996899821,"2017","3",17.5
106.7449961387,-6.11499996899821,"2017","3",17.3999996185303
106.754996138433,-6.11499996899821,"2017","3",17.5
106.764996138166,-6.11499996899821,"2017","3",17.8999996185303
106.774996137899,-6.11499996899821,"2017","3",18.1000003814697
106.784996137632,-6.11499996899821,"2017","3",18.3999996185303
106.794996137365,-6.11499996899821,"2017","3",18.7000007629395
106.804996137098,-6.11499996899821,"2017","3",19
106.814996136831,-6.11499996899821,"2017","3",19.5
106.824996136564,-6.11499996899821,"2017","3",19.8999996185303
106.834996136297,-6.11499996899821,"2017","3",20.3999996185303
106.84499613603,-6.11499996899821,"2017","3",20.7000007629395
106.854996135763,-6.11499996899821,"2017","3",20.7999992370605
106.864996135496,-6.11499996899821,"2017","3",20.7000007629395
106.874996135229,-6.11499996899821,"2017","3",20.7000007629395
106.884996134962,-6.11499996899821,"2017","3",20.6000003814697
106.894996134694,-6.11499996899821,"2017","3",20.5
106.904996134427,-6.11499996899821,"2017","3",20.3999996185303
106.91499613416,-6.11499996899821,"2017","3",20.3999996185303
106.924996133893,-6.11499996899821,"2017","3",20.2999992370605
106.934996133626,-6.11499996899821,"2017","3",20.6000003814697
106.944996133359,-6.11499996899821,"2017","3",20.8999996185303
106.954996133092,-6.11499996899821,"2017","3",22.1000003814697
106.964996132825,-6.11499996899821,"2017","3",24.3999996185303
106.974996132558,-6.11499996899821,"2017","3",24.7999992370605
106.984996132291,-6.11499996899821,"2017","3",25.2999992370605
106.994996132024,-6.11499996899821,"2017","3",25.8999996185303
106.654996141104,-6.12499996878316,"2017","3",20.7999992370605
106.664996140837,-6.12499996878316,"2017","3",20.1000003814697
106.67499614057,-6.12499996878316,"2017","3",19.5
106.684996140303,-6.12499996878316,"2017","3",18.7000007629395
106.694996140036,-6.12499996878316,"2017","3",18.5
106.704996139769,-6.12499996878316,"2017","3",18.2999992370605
106.714996139502,-6.12499996878316,"2017","3",18.1000003814697
106.724996139235,-6.12499996878316,"2017","3",17.8999996185303
106.734996138967,-6.12499996878316,"2017","3",17.7999992370605
106.7449961387,-6.12499996878316,"2017","3",17.6000003814697
106.754996138433,-6.12499996878316,"2017","3",17.7000007629395
106.764996138166,-6.12499996878316,"2017","3",18.2000007629395
106.774996137899,-6.12499996878316,"2017","3",18.5
106.784996137632,-6.12499996878316,"2017","3",18.8999996185303
106.794996137365,-6.12499996878316,"2017","3",19.2000007629395
106.804996137098,-6.12499996878316,"2017","3",19.6000003814697
106.814996136831,-6.12499996878316,"2017","3",20.1000003814697
106.824996136564,-6.12499996878316,"2017","3",20.6000003814697
106.834996136297,-6.12499996878316,"2017","3",21
106.84499613603,-6.12499996878316,"2017","3",21.3999996185303
106.854996135763,-6.12499996878316,"2017","3",21.5
106.864996135496,-6.12499996878316,"2017","3",21.5
106.874996135229,-6.12499996878316,"2017","3",21.3999996185303
106.884996134962,-6.12499996878316,"2017","3",21.2999992370605
106.894996134694,-6.12499996878316,"2017","3",21.2000007629395
106.904996134427,-6.12499996878316,"2017","3",21.1000003814697
106.91499613416,-6.12499996878316,"2017","3",21
106.924996133893,-6.12499996878316,"2017","3",21.1000003814697
106.934996133626,-6.12499996878316,"2017","3",21.5
106.944996133359,-6.12499996878316,"2017","3",21.8999996185303
106.954996133092,-6.12499996878316,"2017","3",23.2000007629395
106.964996132825,-6.12499996878316,"2017","3",25
106.974996132558,-6.12499996878316,"2017","3",25.5
106.984996132291,-6.12499996878316,"2017","3",26.1000003814697
106.994996132024,-6.12499996878316,"2017","3",26.7000007629395
106.654996141104,-6.13499996856811,"2017","3",21.2999992370605
106.664996140837,-6.13499996856811,"2017","3",20.5
106.67499614057,-6.13499996856811,"2017","3",19.7999992370605
106.684996140303,-6.13499996856811,"2017","3",19.1000003814697
106.694996140036,-6.13499996856811,"2017","3",18.7999992370605
106.704996139769,-6.13499996856811,"2017","3",18.6000003814697
106.714996139502,-6.13499996856811,"2017","3",18.3999996185303
106.724996139235,-6.13499996856811,"2017","3",18.2000007629395
